,,,,,Meta Nacional,,
,,Real,,,"185,000","203,500","223,850"
Vendedor,Potencial,ene-24,feb-24,mar-24,abr-24,may-24,jun-24
Vendedor 1,8048,"3,038","2,937","3,016",,,
Vendedor 2,3211,"8,915","8,903","9,007",,,
Vendedor 3,9646,"2,932","2,979","3,049",,,
Vendedor 4,9617,"2,870","2,941","3,054",,,
Vendedor 5,3740,"9,051","8,872","8,931",,,
Vendedor 6,7514,"3,007","3,015","2,911",,,
Vendedor 7,2770,"8,951","8,935","8,961",,,
Vendedor 8,3613,"6,074","5,926","6,079",,,
Vendedor 9,8106,"2,901","2,924","3,019",,,
Vendedor 10,2902,"8,947","9,065","9,134",,,
Vendedor 11,3336,"9,060","9,016","8,998",,,
Vendedor 12,4351,"5,888","6,030","6,002",,,
Vendedor 13,4167,"6,060","5,864","5,913",,,
Vendedor 14,5403,"3,071","2,945","3,006",,,
Vendedor 15,6402,"5,889","5,984","6,096",,,
Vendedor 16,4228,"5,933","5,963","5,960",,,
Vendedor 17,5823,"5,942","5,954","6,001",,,
Vendedor 18,7338,"2,956","2,998","2,957",,,
Vendedor 19,3492,"6,053","6,029","6,008",,,
Vendedor 20,4603,"5,922","6,020","5,934",,,
Vendedor 21,2898,"9,053","9,187","8,956",,,
Vendedor 22,8069,"2,960","3,056","3,004",,,
Vendedor 23,2779,"9,141","9,036","8,958",,,
Vendedor 24,4253,"3,048","2,908","3,082",,,
Vendedor 25,2425,"8,857","9,013","9,042",,,
Vendedor 26,3489,"5,960","6,034","6,035",,,
Vendedor 27,3423,"8,964","8,971","9,036",,,
Vendedor 28,8872,"2,999","3,036","2,979",,,
Vendedor 29,4844,"6,093","5,974","5,958",,,
Vendedor 30,9828,"3,032","2,916","3,003",,,
